Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
TINTAS,Seyve Willard (Tinta),0.0,0.0,1973
TINTAS,Vênus,0.0,0.0,1973
BRANCAS E ROSADAS_TOTAL,,0.0,231984.0,1973
BRANCAS E ROSADAS,Baco,0.0,0.0,1973
BRANCAS E ROSADAS,Bokay,0.0,0.0,1973
BRANCAS E ROSADAS,BRS Bibiana,0.0,0.0,1973
BRANCAS E ROSADAS,BRS Clara,0.0,0.0,1973
BRANCAS E ROSADAS,BRS Lorena,0.0,0.0,1973
BRANCAS E ROSADAS,Couderc 13,0.0,0.0,1973
BRANCAS E ROSADAS,Delaware,0.0,0.0,1973
BRANCAS E ROSADAS,Dona Zillá,0.0,0.0,1973
BRANCAS E ROSADAS,Dut Chess,0.0,0.0,1973
BRANCAS E ROSADAS,Goethe,113941.0,0.0,1973
BRANCAS E ROSADAS,IAC,0.0,0.0,1973
BRANCAS E ROSADAS,Juliana,0.0,0.0,1973
BRANCAS E ROSADAS,Martha,5126.0,0.0,1973
BRANCAS E ROSADAS,Mistura de uvas americanas,0.0,0.0,1973
BRANCAS E ROSADAS,Moscato Embrapa,0.0,0.0,1973
BRANCAS E ROSADAS,Niagara,112917.0,0.0,1973
BRANCAS E ROSADAS,Niagara Branca,0.0,0.0,1973
BRANCAS E ROSADAS,Niagara Rosada,0.0,0.0,1973
BRANCAS E ROSADAS,Poloske,0.0,0.0,1973
BRANCAS E ROSADAS,Seleções,0.0,0.0,1973
BRANCAS E ROSADAS,Seyve Villard,0.0,0.0,1973
BRANCAS E ROSADAS,Seyve Villard 5276,0.0,0.0,1973
BRANCAS E ROSADAS,Seyve Villard 12375,0.0,0.0,1973
BRANCAS E ROSADAS,Tardia de Caxias,0.0,0.0,1973
BRANCAS E ROSADAS,Outras(2),0.0,0.0,1973
TINTAS_TOTAL,,0.0,295404693.0,1974
TINTAS,Bacarina,138158.0,0.0,1974
TINTAS,Bailey,0.0,0.0,1974
TINTAS,Bordo,13341412.0,0.0,1974
